Local time,Open,High,Low,Close,Volume
01.07.2020 03:54:00.000 GMT-0300,9087,9087,9086,9086,0.21
01.07.2020 03:55:00.000 GMT-0300,9087,9087,9086,9086,0.2625
01.07.2020 03:56:00.000 GMT-0300,9086,9087,9086,9086,0.2325
01.07.2020 03:57:00.000 GMT-0300,9086,9086,9084,9084,0.27
01.07.2020 03:58:00.000 GMT-0300,9084,9086,9082,9082,0.18
01.07.2020 03:59:00.000 GMT-0300,9082,9083,9082,9082,0.0152
01.07.2020 04:00:00.000 GMT-0300,9082,9082,9079,9080,0.0686
01.07.2020 04:01:00.000 GMT-0300,9080,9081,9080,9080,0.0979
01.07.2020 04:02:00.000 GMT-0300,9080,9083,9080,9082,0.8403
01.07.2020 04:03:00.000 GMT-0300,9082,9084,9082,9083,0.96
01.07.2020 04:04:00.000 GMT-0300,9084,9084,9082,9083,0.4809
01.07.2020 04:05:00.000 GMT-0300,9083,9085,9082,9085,0.8783
01.07.2020 04:06:00.000 GMT-0300,9085,9090,9084,9088,1.2825
01.07.2020 04:07:00.000 GMT-0300,9089,9089,9086,9089,0.7126
01.07.2020 04:08:00.000 GMT-0300,9089,9089,9087,9088,0.33
01.07.2020 04:09:00.000 GMT-0300,9088,9089,9087,9087,0.5477
01.07.2020 04:10:00.000 GMT-0300,9087,9089,9085,9085,0.9303
01.07.2020 04:11:00.000 GMT-0300,9085,9090,9085,9089,0.48
01.07.2020 04:12:00.000 GMT-0300,9089,9090,9087,9088,0.7206
01.07.2020 04:13:00.000 GMT-0300,9088,9090,9087,9087,0.2045
01.07.2020 04:14:00.000 GMT-0300,9087,9087,9086,9086,1.1191
01.07.2020 04:15:00.000 GMT-0300,9086,9088,9086,9086,0.3382
01.07.2020 04:16:00.000 GMT-0300,9086,9089,9086,9088,0.1504
01.07.2020 04:17:00.000 GMT-0300,9088,9090,9088,9088,0.0024
01.07.2020 04:18:00.000 GMT-0300,9088,9089,9087,9088,0.4217
01.07.2020 04:19:00.000 GMT-0300,9089,9093,9089,9093,0.4726
01.07.2020 04:20:00.000 GMT-0300,9093,9093,9090,9092,0.3225
01.07.2020 04:21:00.000 GMT-0300,9091,9093,9091,9093,0.39
01.07.2020 04:22:00.000 GMT-0300,9093,9093,9091,9092,0.4502
01.07.2020 04:23:00.000 GMT-0300,9092,9094,9091,9094,0.54
01.07.2020 04:24:00.000 GMT-0300,9093,9094,9093,9094,0.165
01.07.2020 04:25:00.000 GMT-0300,9093,9094,9092,9093,0.06
01.07.2020 04:26:00.000 GMT-0300,9094,9098,9094,9096,0.4425
01.07.2020 04:27:00.000 GMT-0300,9096,9097,9096,9096,0.4725
01.07.2020 04:28:00.000 GMT-0300,9096,9098,9096,9098,0.255
01.07.2020 04:29:00.000 GMT-0300,9099,9099,9096,9099,0.1125
01.07.2020 04:30:00.000 GMT-0300,9099,9101,9099,9099,0.3975
01.07.2020 04:31:00.000 GMT-0300,9099,9102,9099,9101,0.18
01.07.2020 04:32:00.000 GMT-0300,9101,9102,9099,9099,0.36
01.07.2020 04:33:00.000 GMT-0300,9099,9099,9096,9096,0.5927
01.07.2020 04:34:00.000 GMT-0300,9096,9098,9096,9096,0.42
01.07.2020 04:35:00.000 GMT-0300,9096,9097,9095,9095,0.3075
01.07.2020 04:36:00.000 GMT-0300,9095,9097,9094,9094,0.5775
01.07.2020 04:37:00.000 GMT-0300,9094,9096,9094,9094,0.5625
01.07.2020 04:38:00.000 GMT-0300,9094,9096,9094,9096,0.3075
01.07.2020 04:39:00.000 GMT-0300,9096,9096,9092,9092,0.3901
01.07.2020 04:40:00.000 GMT-0300,9092,9095,9092,9092,0.3225
01.07.2020 04:41:00.000 GMT-0300,9092,9095,9092,9092,0.3075
01.07.2020 04:42:00.000 GMT-0300,9093,9095,9092,9092,0.1275
01.07.2020 04:43:00.000 GMT-0300,9092,9093,9092,9092,0.0525
01.07.2020 04:44:00.000 GMT-0300,9092,9092,9092,9092,0.1775
