,y+1
1364,2.78
1365,2.7560000000000002
1366,2.748
1367,2.7760000000000002
1368,2.842
1369,2.8560000000000003
1370,2.798
1371,2.81
1372,2.81
1373,2.792
1374,2.792
1375,2.75
1376,2.762
1377,4.838
1378,4.878
1379,4.864
1380,4.868
1381,4.876
1382,4.81
1383,4.79
1384,4.784
1385,4.806
1386,4.834
1387,4.856
1388,4.843999999999999
1389,4.912
1390,3.12
1391,2.73
1392,2.9619999999999997
1393,2.764
1394,2.748
1395,2.722
1396,2.7680000000000002
1397,2.832
1398,2.804
1399,2.7880000000000003
1400,2.802
1401,2.8
1402,2.7760000000000002
1403,2.7680000000000002
1404,2.798
1405,2.846
1406,3.234
1407,3.2560000000000002
1408,3.272
1409,3.3280000000000003
1410,3.3160000000000003
1411,3.39
1412,3.418
1413,3.384
1414,3.3739999999999997
1415,3.388
1416,3.3760000000000003
1417,3.3539999999999996
1418,3.472
1419,3.484
1420,3.4219999999999997
1421,3.4160000000000004
1422,3.446
1423,3.66
1424,3.5860000000000003
1425,3.556
1426,3.6039999999999996
1427,3.728
1428,3.7
1429,3.678
1430,3.67
1431,3.702
1432,3.7439999999999998
1433,3.7960000000000003
1434,3.8080000000000003
1435,3.58
1436,3.37
1437,3.13
1438,3.238
1439,3.39
1440,3.36
1441,3.4
1442,3.3960000000000004
1443,3.282
1444,2.9960000000000004
1445,3.002
1446,3.0
1447,2.9939999999999998
1448,3.0580000000000003
1449,3.1180000000000003
1450,3.168
1451,3.262
1452,3.306
1453,3.2880000000000003
1454,3.282
1455,3.292
1456,3.28
1457,3.502
1458,3.3760000000000003
1459,3.332
1460,3.292
1461,3.28
1462,3.298
1463,3.2960000000000003
1464,3.2739999999999996
1465,3.412
1466,3.412
1467,3.418
1468,3.4160000000000004
1469,3.418
1470,3.43
1471,3.4339999999999997
1472,3.792
1473,3.6519999999999997
1474,3.59
1475,3.3280000000000003
1476,3.3360000000000003
1477,3.386
1478,3.528
1479,3.4960000000000004
1480,3.3960000000000004
1481,3.266
1482,3.34
1483,3.26
1484,3.236
1485,3.216
1486,3.2319999999999998
1487,3.236
1488,3.2539999999999996
1489,3.3080000000000003
1490,3.612
1491,4.1
1492,6.254
1493,6.204
1494,4.5360000000000005
1495,3.6060000000000003
1496,3.594
1497,3.614
1498,3.612
1499,3.612
1500,3.576
1501,3.552
1502,3.55
1503,3.5660000000000003
1504,3.66
1505,3.6239999999999997
1506,3.6260000000000003
1507,3.62
1508,3.42
1509,3.3560000000000003
1510,3.362
1511,3.372
1512,3.38
1513,3.344
1514,3.612
1515,3.6519999999999997
1516,3.638
1517,3.6180000000000003
1518,3.588
1519,3.596
1520,3.708
1521,3.79
1522,3.76
1523,3.7539999999999996
1524,3.742
1525,3.9539999999999997
1526,3.81
1527,3.8080000000000003
1528,3.978
1529,3.9739999999999998
1530,4.006
1531,4.112
1532,4.06
1533,4.05
1534,4.046
1535,4.078
1536,4.18
1537,4.132
1538,3.7680000000000002
1539,3.556
1540,3.528
1541,2.9219999999999997
1542,2.42
1543,2.398
1544,2.398
1545,2.388
1546,2.432
1547,3.764
1548,3.782
1549,3.222
1550,2.21
1551,2.208
1552,2.22
1553,2.234
1554,2.224
1555,2.164
1556,2.472
1557,2.506
1558,2.168
1559,2.154
1560,2.146
1561,2.134
1562,2.104
1563,2.104
1564,2.116
1565,2.114
1566,2.532
1567,2.478
1568,2.366
1569,2.74
1570,3.424
1571,3.5380000000000003
1572,4.012
1573,4.842
1574,3.5780000000000003
1575,3.438
1576,3.29
1577,3.13
1578,3.15
1579,3.3139999999999996
1580,3.022
1581,3.0039999999999996
1582,3.02
1583,2.96
1584,3.5439999999999996
1585,2.9339999999999997
1586,3.034
1587,3.2439999999999998
1588,3.304
1589,3.0239999999999996
1590,3.032
1591,2.826
1592,2.5580000000000003
1593,2.5140000000000002
1594,2.406
1595,2.388
1596,2.314
1597,2.326
1598,2.56
1599,2.67
1600,2.42
1601,2.55
1602,2.6
1603,2.628
1604,2.6319999999999997
